"","date","rides"
"44928",2018-10-04,9041
"44929",2018-10-05,8276
"44930",2018-10-06,2495
"44931",2018-10-07,7061
"44932",2018-10-08,8455
"44933",2018-10-09,9086
"44934",2018-10-10,9080
"44935",2018-10-11,8911
"44936",2018-10-12,8549
"44937",2018-10-13,2545
"44938",2018-10-14,1890
"44939",2018-10-15,8856
"44940",2018-10-16,8949
"44941",2018-10-17,9195
"44942",2018-10-18,9206
"44943",2018-10-19,8567
"44944",2018-10-20,2642
"44945",2018-10-21,1729
"44946",2018-10-22,8787
"44947",2018-10-23,8800
"44948",2018-10-24,9000
"44949",2018-10-25,8856
"44950",2018-10-26,8505
"44951",2018-10-27,2542
"44952",2018-10-28,1578
"44953",2018-10-29,8722
"44954",2018-10-30,8703
"44955",2018-10-31,8982
"49269",2018-11-01,8727
"49270",2018-11-02,8611
"49271",2018-11-03,2494
"49272",2018-11-04,1959
"49273",2018-11-05,8815
"49274",2018-11-06,8648
"49275",2018-11-07,8913
"49276",2018-11-08,8609
"49277",2018-11-09,8131
"49278",2018-11-10,2300
"49279",2018-11-11,1581
"49280",2018-11-12,8047
"49281",2018-11-13,8482
"49282",2018-11-14,8784
"49283",2018-11-15,8483
"49284",2018-11-16,8464
"49285",2018-11-17,2759
"49286",2018-11-18,1789
"49287",2018-11-19,8342
"49288",2018-11-20,8037
"49289",2018-11-21,6752
"49290",2018-11-22,1170
"49291",2018-11-23,1520
"49292",2018-11-24,1433
"49293",2018-11-25,1219
"49294",2018-11-26,6709
"49295",2018-11-27,8184
"49296",2018-11-28,8641
"49297",2018-11-29,8591
"49298",2018-11-30,8192
"53646",2018-12-01,2154
"53647",2018-12-02,1472
"53648",2018-12-03,8319
"53649",2018-12-04,8128
"53650",2018-12-05,8326
"53651",2018-12-06,7993
"53652",2018-12-07,7729
"53653",2018-12-08,2153
"53654",2018-12-09,1491
"53655",2018-12-10,6098
"53656",2018-12-11,6143
"53657",2018-12-12,5932
"53658",2018-12-13,5912
"53659",2018-12-14,5449
"53660",2018-12-15,2008
"53661",2018-12-16,1426
"53662",2018-12-17,3409
"53663",2018-12-18,3473
"53664",2018-12-19,3292
"53665",2018-12-20,3009
"53666",2018-12-21,2701
"53667",2018-12-22,1192
"53668",2018-12-23,961
"53669",2018-12-24,907
"53670",2018-12-25,413
"53671",2018-12-26,1410
"53672",2018-12-27,1595
"53673",2018-12-28,1664
"53674",2018-12-29,988
"53675",2018-12-30,878
"53676",2018-12-31,1266
"58123",2019-01-01,981
"58124",2019-01-02,2376
"58125",2019-01-03,2495
"58126",2019-01-04,2496
"58127",2019-01-05,1209
"58128",2019-01-06,925
"58129",2019-01-07,3029
"58130",2019-01-08,3057
"58131",2019-01-09,3180
"58132",2019-01-10,3282
"58133",2019-01-11,3270
"58134",2019-01-12,1361
"58135",2019-01-13,1270
"58136",2019-01-14,8054
"58137",2019-01-15,7774
"58138",2019-01-16,8081
"58139",2019-01-17,7757
"58140",2019-01-18,7392
"58141",2019-01-19,1489
"58142",2019-01-20,1192
"58143",2019-01-21,1991
"58144",2019-01-22,7642
"58145",2019-01-23,8070
"58146",2019-01-24,7657
"58147",2019-01-25,6371
"58148",2019-01-26,1633
"58149",2019-01-27,1142
"58150",2019-01-28,7244
"58151",2019-01-29,6160
"58152",2019-01-30,395
"58153",2019-01-31,1025
"62474",2019-02-01,6994
"62475",2019-02-02,1977
"62476",2019-02-03,1443
"62477",2019-02-04,7998
"62478",2019-02-05,7864
"62479",2019-02-06,7972
"62480",2019-02-07,7851
"62481",2019-02-08,6990
"62482",2019-02-09,1788
"62483",2019-02-10,1254
"62484",2019-02-11,7779
"62485",2019-02-12,7610
"62486",2019-02-13,8031
"62487",2019-02-14,7890
"62488",2019-02-15,7138
"62489",2019-02-16,1940
"62490",2019-02-17,1248
"62491",2019-02-18,6864
"62492",2019-02-19,7664
"62493",2019-02-20,7889
"62494",2019-02-21,7641
"62495",2019-02-22,7234
"62496",2019-02-23,1815
"62497",2019-02-24,1228
"62498",2019-02-25,7406
"62499",2019-02-26,7239
"62500",2019-02-27,7632
"62501",2019-02-28,7426
"66574",2019-03-01,7127
"66575",2019-03-02,1831
"66576",2019-03-03,1260
"66577",2019-03-04,6993
"66578",2019-03-05,7212
"66579",2019-03-06,7543
"66580",2019-03-07,7416
"66581",2019-03-08,7018
"66582",2019-03-09,1754
"66583",2019-03-10,1296
"66584",2019-03-11,7410
"66585",2019-03-12,7638
"66586",2019-03-13,7880
"66587",2019-03-14,7485
"66588",2019-03-15,7301
"66589",2019-03-16,3527
"66590",2019-03-17,1573
"66591",2019-03-18,7530
"66592",2019-03-19,6897
"66593",2019-03-20,7190
"66594",2019-03-21,6617
"66595",2019-03-22,6175
"66596",2019-03-23,1984
"66597",2019-03-24,1375
"66598",2019-03-25,3142
"66599",2019-03-26,3268
"66600",2019-03-27,3399
"66601",2019-03-28,3257
"66602",2019-03-29,3107
"66603",2019-03-30,1561
"66604",2019-03-31,1153
"71038",2019-04-01,6754
"71039",2019-04-02,6852
"71040",2019-04-03,7407
"71041",2019-04-04,6782
"71042",2019-04-05,6401
"71043",2019-04-06,2305
"71044",2019-04-07,1488
"71045",2019-04-08,7444
"71046",2019-04-09,7592
"71047",2019-04-10,7441
"71048",2019-04-11,7394
"71049",2019-04-12,7185
"71050",2019-04-13,2252
"71051",2019-04-14,982
"71052",2019-04-15,7150
"71053",2019-04-16,7281
"71054",2019-04-17,7569
"71055",2019-04-18,7021
"71056",2019-04-19,6457
"71057",2019-04-20,1834
"71058",2019-04-21,1367
"71059",2019-04-22,7175
"71060",2019-04-23,7202
"71061",2019-04-24,7679
"71062",2019-04-25,7253
"71063",2019-04-26,7029
"71064",2019-04-27,1589
"71065",2019-04-28,1560
"71066",2019-04-29,6851
"71067",2019-04-30,6961
"75329",2019-05-01,7569
"75330",2019-05-02,7066
"75331",2019-05-03,6965
"75332",2019-05-04,1933
"75333",2019-05-05,1742
"75334",2019-05-06,5706
"75335",2019-05-07,5642
"75336",2019-05-08,5947
"75337",2019-05-09,5426
"75338",2019-05-10,5731
"75339",2019-05-11,1838
"75340",2019-05-12,1300
"75341",2019-05-13,3484
"75342",2019-05-14,3678
