"","date","rides"
"47943",2018-10-12,7148
"47944",2018-10-13,5067
"47945",2018-10-14,3816
"47946",2018-10-15,6971
"47947",2018-10-16,7087
"47948",2018-10-17,7285
"47949",2018-10-18,7351
"47950",2018-10-19,6985
"47951",2018-10-20,4787
"47952",2018-10-21,3555
"47953",2018-10-22,6669
"47954",2018-10-23,6911
"47955",2018-10-24,6924
"47956",2018-10-25,7292
"47957",2018-10-26,7033
"47958",2018-10-27,5011
"47959",2018-10-28,4311
"47960",2018-10-29,6515
"47961",2018-10-30,6927
"47962",2018-10-31,8016
"52179",2018-11-01,7057
"52180",2018-11-02,6720
"52181",2018-11-03,5020
"52182",2018-11-04,3081
"52183",2018-11-05,6721
"52184",2018-11-06,6597
"52185",2018-11-07,7000
"52186",2018-11-08,7125
"52187",2018-11-09,6893
"52188",2018-11-10,4231
"52189",2018-11-11,3451
"52190",2018-11-12,5940
"52191",2018-11-13,6611
"52192",2018-11-14,6607
"52193",2018-11-15,6640
"52194",2018-11-16,6735
"52195",2018-11-17,4705
"52196",2018-11-18,3391
"52197",2018-11-19,6232
"52198",2018-11-20,5977
"52199",2018-11-21,4513
"52200",2018-11-22,1647
"52201",2018-11-23,2964
"52202",2018-11-24,2972
"52203",2018-11-25,2170
"52204",2018-11-26,5355
"52205",2018-11-27,6024
"52206",2018-11-28,6328
"52207",2018-11-29,6408
"52208",2018-11-30,6708
"56653",2018-12-01,3716
"56654",2018-12-02,3145
"56655",2018-12-03,6062
"56656",2018-12-04,6361
"56657",2018-12-05,6265
"56658",2018-12-06,6422
"56659",2018-12-07,6750
"56660",2018-12-08,4875
"56661",2018-12-09,3160
"56662",2018-12-10,5835
"56663",2018-12-11,6163
"56664",2018-12-12,6248
"56665",2018-12-13,6521
"56666",2018-12-14,6656
"56667",2018-12-15,5176
"56668",2018-12-16,3687
"56669",2018-12-17,4944
"56670",2018-12-18,5821
"56671",2018-12-19,5965
"56672",2018-12-20,5856
"56673",2018-12-21,5251
"56674",2018-12-22,3173
"56675",2018-12-23,2217
"56676",2018-12-24,1786
"56677",2018-12-25,717
"56678",2018-12-26,2482
"56679",2018-12-27,3133
"56680",2018-12-28,3849
"56681",2018-12-29,2927
"56682",2018-12-30,2910
"56683",2018-12-31,3416
"61130",2019-01-01,3956
"61131",2019-01-02,4759
"61132",2019-01-03,5329
"61133",2019-01-04,5515
"61134",2019-01-05,3716
"61135",2019-01-06,2989
"61136",2019-01-07,5939
"61137",2019-01-08,6254
"61138",2019-01-09,6014
"61139",2019-01-10,6155
"61140",2019-01-11,6134
"61141",2019-01-12,3509
"61142",2019-01-13,2836
"61143",2019-01-14,6101
"61144",2019-01-15,6411
"61145",2019-01-16,6182
"61146",2019-01-17,6439
